,Name,Price,Body Type,Displacement,Transmission,Seating Capacity,Odometer
0,JW Forland Safari  2024 Specifications,3900000.0,MPV,1480.0,Manual,7,0
1,MG ZS EV 2024 Specifications,140000.0,Compact SUV,1585.2,Automatic,5,0
2,MG 4 2024 Specifications,120000.00000000001,Crossover,1585.2,Automatic,5,0
3,Hyundai Santa Fe 2024 Specifications,138500.0,SUV,1598.0,Automatic,7,0
4,GUGO GIGI 2024 Specifications,4650000.0,Hatchback,1585.2,Automatic,4,0
5,Seres 3 2024 Specifications,8390000.0,SUV,1585.2,Automatic,5,0
6,MG 5 EV 2024 Specifications,135000.0,Station Wagon,1585.2,Automatic,5,0
7,Toyota Corolla Cross 2024 Specifications,9025000.0,SUV,1798.0,Automatic,5,0
8,ORA 03 2024 Specifications,9000000.0,Hatchback,1585.2,Automatic,5,0
9,Tank 500 2024 Specifications,450000.0,SUV,1998.0,Automatic,7,0
10,Hyundai Ioniq 6 2024 Specifications,229999.99999999997,Compact sedan,1585.2,Automatic,5,0
11,Hyundai Ioniq 5 2024 Specifications,225000.0,SUV,1585.2,Automatic,5,0
13,Changan Karvaan 2024 Specifications,2890000.0,Mini Van,1121.0,Manual,7,0
14,MG HS 2024 Specifications,8250000.0,Crossover,1742.5,Automatic,5,0
15,Hyundai Elantra 2024 Specifications,6665000.000000001,Sedan,1795.0,Automatic,5,0
16,Hyundai Tucson 2024 Specifications,7270000.0,SUV,1999.0,Automatic,5,0
17,United Bravo 2024 Specifications,1520000.0,Hatchback,796.0,Manual,5,0
18,Prince Pearl 2024 Specifications,1850000.0,Hatchback,796.0,Manual & Automatic,5,0
19,Toyota Land Cruiser 2024 Specifications,1200000.0,SUV,3444.5,Automatic,7,0
20,Changan Alsvin 2024 Specifications,4175000.0,Sedan,1425.0,Manual & Automatic,5,0
21,Honda BR-V 2024 Specifications,4375000.0,MPV,1497.0,Automatic,7,0
22,KIA Picanto 2024 Specifications,3725000.0,Hatchback,1000.0,Manual & Automatic,5,0
23,KIA Sportage 2024 Specifications,7350000.0,SUV,1999.0,Automatic,5,0
24,Toyota Fortuner 2024 Specifications,21150000.0,SUV,2724.5,Automatic,7,0
25,Suzuki Swift 2024 Specifications,4530000.0,Hatchback,1200.0,Manual & Automatic,5,0
26,Toyota Yaris 2024 Specifications,5090000.0,Sedan,1412.5,Manual & Automatic,5,0
27,Suzuki Wagon R 2024 Specifications,1739999.9999999998,Hatchback,998.0,Manual & Automatic,5,0
28,Suzuki Cultus 2024 Specifications,2925000.0,Hatchback,998.0,Manual & Automatic,5,0
29,Honda Civic 2024 Specifications,9115000.0,Sedan,1498.0,Automatic,5,0
31,Suzuki Alto 2024 Specifications,2690000.0,Hatchback,658.0,Manual & Automatic,4,0
32,Toyota Corolla 2024 Specifications,4200000.0,Sedan,1549.0,Manual & Automatic,5,0
